model,threshold_bp,threshold,net_benefit,net_benefit_ci_low,net_benefit_ci_high,n_folds,endpoint,stage
treat_none,3800,0.38,0.0,0.0,0.0,5,any_abnormal,raw
treat_none,3900,0.39,0.0,0.0,0.0,5,any_abnormal,raw
treat_none,4000,0.4,0.0,0.0,0.0,5,any_abnormal,raw
treat_none,4100,0.41,0.0,0.0,0.0,5,any_abnormal,raw
treat_none,4200,0.42,0.0,0.0,0.0,5,any_abnormal,raw
treat_none,4300,0.43,0.0,0.0,0.0,5,any_abnormal,raw
treat_none,4400,0.44,0.0,0.0,0.0,5,any_abnormal,raw
treat_none,4500,0.45,0.0,0.0,0.0,5,any_abnormal,raw
treat_none,4600,0.46,0.0,0.0,0.0,5,any_abnormal,raw
treat_none,4700,0.47,0.0,0.0,0.0,5,any_abnormal,raw
treat_none,4800,0.48,0.0,0.0,0.0,5,any_abnormal,raw
treat_none,4900,0.49,0.0,0.0,0.0,5,any_abnormal,raw
treat_none,5000,0.5,0.0,0.0,0.0,5,any_abnormal,raw
real_only,100,0.01,0.6774752350542677,0.6727088096177531,0.6829461428218521,5,any_abnormal,calibrated
real_only,200,0.02,0.6741841660242093,0.6693691035934445,0.6797108993812587,5,any_abnormal,calibrated
real_only,300,0.03,0.6708252399007475,0.6659605376511089,0.6764089498903438,5,any_abnormal,calibrated
real_only,400,0.04,0.6673963361497137,0.6624809599183079,0.6730382097850349,5,any_abnormal,calibrated
real_only,500,0.05,0.6638952449512895,0.658928127917448,0.6695965067301406,5,any_abnormal,calibrated
real_only,600,0.06,0.6603196624507713,0.6552997037463569,0.6660815759506741,5,any_abnormal,calibrated
real_only,700,0.07,0.6566671857029303,0.6515932489479308,0.6624910552619715,5,any_abnormal,calibrated
real_only,800,0.08,0.6529353072866577,0.6478062190451909,0.6588224797756886,5,any_abnormal,calibrated
real_only,900,0.09,0.6491214095645331,0.6439359577160172,0.6550732762567402,5,any_abnormal,calibrated
real_only,1000,0.1,0.6452227585596945,0.6399796905795284,0.6512407571040373,5,any_abnormal,calibrated
real_only,1100,0.11,0.6412364974199158,0.6359345185635681,0.6473221139254309,5,any_abnormal,calibrated
real_only,1200,0.12,0.6371596394360513,0.6317974108199722,0.6433144106745836,5,any_abnormal,calibrated
real_only,1300,0.13,0.6329890605789943,0.6275651971512364,0.6392145763145214,5,any_abnormal,calibrated
real_only,1400,0.14,0.6287214915159594,0.6232345599088088,0.6350193969693413,5,any_abnormal,calibrated
real_only,1500,0.15,0.624353509063206,0.6188020253195007,0.6307255075219218,5,any_abnormal,calibrated
real_only,1600,0.16,0.6198815270282442,0.6142639541923519,0.6263293826114685,5,any_abnormal,calibrated
real_only,1700,0.17,0.6153128547108683,0.6096220661141245,0.6218273269802814,5,any_abnormal,calibrated
real_only,1800,0.18,0.6105800299479002,0.604840600546771,0.6172154651141872,5,any_abnormal,calibrated
real_only,1900,0.19,0.605414781619411,0.5985834974846953,0.6124897301155969,5,any_abnormal,calibrated
real_only,2000,0.2,0.5997137552305075,0.5901065909870962,0.607645851742042,5,any_abnormal,calibrated
real_only,2100,0.21,0.5942754050347278,0.5832466061497558,0.602679343536245,5,any_abnormal,calibrated
real_only,2200,0.22,0.5884177133298992,0.5749511894202518,0.5975854889661969,5,any_abnormal,calibrated
real_only,2300,0.23,0.5821503091430138,0.5652812664160949,0.5923593264852384,5,any_abnormal,calibrated
